日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2015-06-10,5.14,5.64,5.64,5.14,52,75773.0,13.02,46.88,1.8,0.03
2015-06-11,6.22,6.22,6.22,6.22,10,16160.0,0.0,10.28,0.58,0.0
2015-06-12,6.87,6.87,6.87,6.87,20,35560.0,0.0,10.45,0.65,0.01
2015-06-15,7.58,7.58,7.58,7.58,18,35208.0,0.0,10.33,0.71,0.01
2015-06-16,8.37,8.37,8.37,8.37,48,103296.0,0.0,10.42,0.79,0.02
2015-06-17,9.23,9.23,9.23,9.23,266,630521.0,0.0,10.27,0.86,0.13
2015-06-18,10.18,10.18,10.18,10.18,60,156240.0,0.0,10.29,0.95,0.03
2015-06-19,11.22,11.22,11.22,11.22,439,1258384.0,0.0,10.22,1.04,0.21
2015-06-23,12.36,12.36,12.36,12.36,118,371700.0,0.0,10.16,1.14,0.06
2015-06-24,13.62,13.62,13.62,13.62,45,155925.0,0.0,10.19,1.26,0.02
2015-06-25,15.01,15.01,15.01,15.01,106,404072.0,0.0,10.21,1.39,0.05
2015-06-26,16.53,16.53,16.53,15.36,51867,216438209.0,7.79,10.13,1.52,25.09
2015-06-29,14.86,14.86,16.12,14.86,26658,101609102.0,7.62,-10.1,-1.67,12.9
2015-06-30,13.35,14.34,15.73,13.35,84546,299917056.0,16.02,-3.5,-0.52,40.9
2015-07-01,14.39,14.72,15.79,14.02,98344,377345056.0,12.34,2.65,0.38,47.58
2015-07-02,14.24,13.47,15.41,13.28,79493,292509504.0,14.47,-8.49,-1.25,38.46
2015-07-03,12.16,12.1,13.84,12.1,48516,155588516.0,12.92,-10.17,-1.37,23.47
2015-07-06,13.33,11.6,13.33,10.86,58018,184675498.0,20.41,-4.13,-0.5,28.07
2015-07-07,10.79,10.42,10.88,10.42,36560,98710280.0,3.97,-10.17,-1.18,17.69
2015-07-08,9.35,9.35,9.73,9.35,32906,79105514.0,3.65,-10.27,-1.07,15.92
2015-07-09,8.91,10.31,10.31,8.83,32588,83773935.0,15.83,10.27,0.96,15.77
2015-07-10,10.91,11.37,11.37,10.84,16145,46059990.0,5.14,10.28,1.06,7.81
2015-07-13,12.36,12.53,12.53,11.97,53087,168845554.0,4.93,10.2,1.16,25.68
2015-07-14,12.76,13.8,13.8,12.36,101458,347631808.0,11.49,10.14,1.27,49.08
2015-07-15,12.95,12.4,13.2,12.4,36161,116164984.0,5.8,-10.14,-1.4,17.49
2015-07-16,11.14,11.61,12.76,11.14,59450,178875305.0,13.06,-6.37,-0.79,28.76
2015-07-17,11.62,12.34,12.55,11.56,37989,116783873.0,8.53,6.29,0.73,18.38
2015-07-20,12.16,12.1,12.58,11.8,35349,110317634.0,6.32,-1.94,-0.24,17.1
2015-07-21,11.76,12.88,13.06,11.69,42616,136695210.0,11.32,6.45,0.78,20.62
2015-07-22,12.72,13.35,13.69,12.49,47044,155753692.0,9.32,3.65,0.47,22.76
2015-07-23,13.16,14.71,14.71,13.16,47298,169453863.0,11.61,10.19,1.36,22.88
2015-07-24,15.15,15.2,16.16,13.88,74089,290846608.0,15.5,3.33,0.49,35.84
2015-07-27,14.52,13.66,16.16,13.66,59116,227142684.0,16.45,-10.13,-1.54,28.6
2015-07-28,12.34,13.07,14.16,12.27,50646,167325254.0,13.84,-4.32,-0.59,24.5
2015-07-29,13.64,14.4,14.4,12.4,40879,139633116.0,15.3,10.18,1.33,19.78
2015-07-30,14.56,14.58,15.87,14.2,76419,296733712.0,11.6,1.25,0.18,36.97
2015-07-31,13.97,16.06,16.06,13.84,101871,399782320.0,15.23,10.15,1.48,49.28
2015-08-03,16.16,17.68,17.68,15.76,103450,448565440.0,11.96,10.09,1.62,50.05
2015-08-04,17.84,16.44,19.48,15.89,109246,481379216.0,20.31,-7.01,-1.24,52.85
2015-08-05,15.76,18.11,18.11,15.65,78164,340438768.0,14.96,10.16,1.67,37.82
2015-08-06,17.12,16.93,18.12,16.27,83535,358174288.0,10.22,-6.52,-1.18,40.41
2015-08-07,16.31,16.6,17.16,16.18,52670,223352609.0,5.79,-1.95,-0.33,25.48
2015-08-10,16.58,17.04,17.38,16.44,56445,242871681.0,5.66,2.65,0.44,27.31
2015-08-11,17.16,18.12,18.76,16.84,76873,352069360.0,11.27,6.34,1.08,37.19
2015-08-12,17.84,16.7,18.07,16.68,52899,231900691.0,7.67,-7.84,-1.42,25.59
2015-08-13,16.36,16.57,16.95,15.86,36387,150907715.0,6.53,-0.78,-0.13,17.6
2015-08-14,16.76,16.39,16.76,16.27,28374,118647583.0,2.96,-1.09,-0.18,13.73
2015-08-17,16.32,15.28,16.4,15.15,29499,116414186.0,7.63,-6.77,-1.11,14.27
2015-08-18,15.26,13.73,15.9,13.73,29878,113018952.0,14.2,-10.14,-1.55,14.45
2015-08-19,13.46,13.94,14.07,12.52,32027,109533000.0,11.29,1.53,0.21,15.49
2015-08-20,13.84,13.3,13.96,13.01,23172,80192612.0,6.81,-4.59,-0.64,11.21
2015-08-21,12.88,14.0,14.55,12.88,48744,172368496.0,12.56,5.26,0.7,23.58
2015-08-24,13.88,13.29,13.88,12.58,49188,162708945.0,9.29,-5.07,-0.71,23.8
2015-08-25,12.96,14.64,14.64,12.64,57317,208968964.0,15.05,10.16,1.35,27.73
2015-08-26,15.36,16.13,16.13,15.09,78601,319649344.0,7.1,10.18,1.49,38.03
2015-08-27,17.76,16.88,17.76,15.16,139140,605267664.0,16.12,4.65,0.75,67.32
2015-08-28,16.42,18.59,18.59,15.96,117149,514234960.0,15.58,10.13,1.71,56.68
2015-08-31,18.16,16.71,18.16,16.71,94869,414320976.0,7.8,-10.11,-1.88,45.9
2015-09-01,15.01,15.01,15.48,15.01,12660,48297354.0,2.81,-10.17,-1.7,6.12
2015-09-02,13.49,13.49,15.75,13.49,67645,238105986.0,15.06,-10.13,-1.52,32.73
2015-09-07,12.84,12.12,13.9,12.12,72874,241756592.0,13.19,-10.16,-1.37,35.26
2015-09-08,11.64,12.96,12.96,11.37,67290,212269987.0,13.12,6.93,0.84,32.55
2015-09-09,13.46,14.28,14.28,13.08,66711,232850805.0,9.26,10.19,1.32,32.27
2015-09-10,14.51,13.9,15.08,13.76,89422,329037392.0,9.24,-2.66,-0.38,43.26
2015-09-11,13.12,13.66,14.48,12.98,65466,225052602.0,10.79,-1.73,-0.24,31.67
2015-09-14,13.36,12.27,13.56,12.27,29226,95849743.0,9.44,-10.18,-1.39,14.14
2015-09-15,11.39,11.02,11.75,11.02,43136,123183258.0,5.95,-10.19,-1.25,20.87
2015-09-16,10.92,12.15,12.15,10.92,49853,148004312.0,11.16,10.25,1.13,24.12
2015-09-17,12.31,11.36,12.56,11.31,47828,147418700.0,10.29,-6.5,-0.79,23.14
2015-09-18,11.5,11.41,11.66,11.03,28205,81809161.0,5.55,0.44,0.05,13.65
2015-09-21,11.2,12.56,12.57,11.0,37857,115683418.0,13.76,10.08,1.15,18.32
2015-09-22,12.27,12.36,12.92,12.17,38092,121504417.0,5.97,-1.59,-0.2,18.43
2015-09-23,12.24,12.39,12.92,11.96,37638,120326668.0,7.77,0.24,0.03,18.21
2015-09-24,12.47,12.63,12.91,12.36,30851,99376290.0,4.44,1.94,0.24,14.93
2015-09-25,12.64,11.38,12.71,11.34,29198,88324032.0,10.85,-9.9,-1.25,14.13
2015-09-28,11.4,11.95,12.09,11.4,18226,54744793.0,6.06,5.01,0.57,8.82
2015-09-29,11.76,11.5,11.85,11.3,19961,58945509.0,4.6,-3.77,-0.45,9.66
2015-09-30,11.51,11.57,11.83,11.44,13430,39848730.0,3.39,0.61,0.07,6.5
2015-10-08,12.1,12.19,12.39,11.88,23236,72067859.0,4.41,5.36,0.62,11.24
2015-10-09,12.16,12.41,12.63,12.08,24985,79075763.0,4.51,1.8,0.22,12.09
2015-10-12,12.5,13.05,13.15,12.48,34033,111608621.0,5.4,5.16,0.64,16.46
2015-10-13,13.04,12.96,13.04,12.76,26593,87401421.0,2.15,-0.69,-0.09,12.87
2015-10-14,12.95,13.04,13.67,12.89,40805,137818495.0,6.02,0.62,0.08,19.74
2015-10-15,13.04,13.49,13.51,12.78,38611,129660715.0,5.6,3.45,0.45,18.68
2015-10-16,13.52,13.35,13.62,13.06,40090,135912625.0,4.15,-1.04,-0.14,19.4
2015-10-19,13.38,13.72,13.77,13.36,42556,147154455.0,3.07,2.77,0.37,20.59
2015-10-20,13.54,14.84,15.11,13.48,54434,197013150.0,11.88,8.16,1.12,26.34
2015-10-21,14.43,13.33,14.68,13.33,52251,185036744.0,9.1,-10.18,-1.51,25.28
2015-10-22,13.05,14.0,14.35,13.04,50130,174062538.0,9.83,5.03,0.67,24.25
2015-10-23,14.16,15.24,15.24,13.92,59175,217838221.0,9.43,8.86,1.24,28.63
2015-10-26,15.44,15.32,16.36,14.92,51117,202606624.0,9.45,0.52,0.08,24.73
2015-10-27,15.1,15.67,15.84,14.6,36778,143260105.0,8.09,2.28,0.35,17.79
2015-10-28,15.64,15.76,16.7,15.37,40777,164954167.0,8.49,0.57,0.09,19.73
2015-10-29,16.36,16.0,16.46,15.2,26460,106890477.0,7.99,1.52,0.24,12.8
2015-10-30,15.84,15.98,16.68,15.6,31866,130125438.0,6.75,-0.13,-0.02,15.42
2015-11-02,15.71,16.32,17.22,15.43,32359,136724757.0,11.2,2.13,0.34,15.66
2015-11-03,16.32,16.32,16.72,15.36,35624,146457990.0,8.33,0.0,0.0,17.23
2015-11-04,16.36,17.08,17.12,16.17,28605,121179910.0,5.82,4.66,0.76,13.84
2015-11-05,17.08,16.84,17.73,16.67,25574,111128214.0,6.21,-1.41,-0.24,12.37
2015-11-06,16.74,17.86,18.23,16.74,21649,95244682.0,8.85,6.06,1.02,10.47
2015-11-09,17.84,19.67,19.67,17.61,48282,232645962.0,11.53,10.13,1.81,23.36
2015-11-10,19.76,20.07,20.6,18.9,56085,277744672.0,8.64,2.03,0.4,27.13
2015-11-11,19.67,22.1,22.1,19.2,54883,288938848.0,14.45,10.11,2.03,26.55
2015-11-12,22.32,22.76,23.89,21.49,54434,311664960.0,10.86,2.99,0.66,26.33
2015-11-13,21.94,20.46,22.24,20.46,50469,267514600.0,7.82,-10.11,-2.3,24.42
2015-11-16,19.42,20.12,20.46,19.36,23968,121219247.0,5.38,-1.66,-0.34,11.6
2015-11-17,20.56,19.44,20.91,19.36,29038,147455760.0,7.7,-3.38,-0.68,14.05
2015-11-18,19.42,18.29,19.6,17.76,28056,131980803.0,9.47,-5.92,-1.15,13.57
2015-11-19,18.36,19.65,19.76,18.36,22326,106840973.0,7.65,7.44,1.36,10.8
2015-11-20,19.77,19.46,19.96,19.31,20806,103226724.0,3.31,-0.97,-0.19,10.07
2015-11-23,19.36,18.76,19.75,18.56,19018,92541587.0,6.12,-3.6,-0.7,9.2
2015-11-24,18.85,20.04,20.12,18.77,45082,220936890.0,7.2,6.82,1.28,21.81
2015-11-25,20.04,19.78,20.11,19.55,33121,165983963.0,2.79,-1.3,-0.26,16.02
2015-11-26,19.89,19.8,20.84,19.36,33713,172732496.0,7.48,0.1,0.02,16.31
2015-11-27,19.52,18.8,20.12,17.96,33309,161565003.0,10.91,-5.05,-1.0,16.11
2015-11-30,18.79,19.37,19.68,17.36,42213,200666437.0,12.34,3.03,0.57,20.42
2015-12-01,19.24,18.84,20.44,18.24,38908,192714165.0,11.36,-2.74,-0.53,18.82
2015-12-02,18.56,17.94,18.92,17.24,24844,113178193.0,8.92,-4.78,-0.9,12.02
2015-12-03,18.16,19.51,19.67,18.15,39783,191684125.0,8.47,8.75,1.57,19.25
2015-12-04,19.35,20.11,20.8,19.34,48648,248135166.0,7.48,3.08,0.6,23.54
2015-12-07,19.95,20.15,20.36,19.77,25063,126999297.0,2.93,0.2,0.04,12.13
2015-12-08,20.12,20.4,21.04,19.62,43565,225038159.0,7.05,1.24,0.25,21.08
2015-12-09,20.0,19.48,20.61,18.96,31375,156357415.0,8.09,-4.51,-0.92,15.18
2015-12-10,19.36,18.8,19.68,18.75,21117,101695519.0,4.77,-3.49,-0.68,10.22
2015-12-11,18.84,18.86,19.31,18.56,14787,70924973.0,3.99,0.32,0.06,7.15
2015-12-14,19.04,20.77,20.77,18.61,33742,170602711.0,11.45,10.13,1.91,16.32
2015-12-15,21.16,20.96,21.56,20.4,39479,209029512.0,5.58,0.91,0.19,19.1
2015-12-16,21.56,20.76,22.0,20.68,38735,207745257.0,6.3,-0.95,-0.2,18.74
2015-12-17,20.63,21.34,21.36,20.5,38725,205862177.0,4.14,2.79,0.58,18.73
2015-12-18,21.36,20.8,21.96,20.56,30827,165547792.0,6.56,-2.53,-0.54,14.91
2015-12-21,20.56,20.58,20.8,20.16,17926,92744629.0,3.08,-1.06,-0.22,8.67
2015-12-22,20.63,20.92,20.93,20.3,16914,88561601.0,3.06,1.65,0.34,8.18
2015-12-23,20.84,21.1,21.8,20.58,35197,189008217.0,5.83,0.86,0.18,17.03
2015-12-24,20.99,22.28,22.48,20.97,46931,258419359.0,7.16,5.59,1.18,22.7
2015-12-25,22.21,21.86,22.96,21.67,46908,264633278.0,5.79,-1.89,-0.42,22.69
